fc_id,region_id,sku_id,units,miles,unit_cost,ship_cost,unit_miles,meets_2day,date,scenario
FC_ATL,ATL,SKU_001,139.0,0.0,5.3,736.6999999999999,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_002,52.0,0.0,5.3,275.59999999999997,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_003,92.0,0.0,5.3,487.59999999999997,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_004,49.0,0.0,5.3,259.7,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_005,38.0,0.0,5.3,201.4,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_006,56.0,0.0,5.3,296.8,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_007,52.0,0.0,5.3,275.59999999999997,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_008,9.0,0.0,5.3,47.699999999999996,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_009,4.0,0.0,5.3,21.2,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_010,10.0,0.0,5.3,53.0,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_011,7.0,0.0,5.3,37.1,0.0,1,2024-01-03,S1_nearest_fc
FC_ATL,ATL,SKU_012,3.0,0.0,5.3,15.899999999999999,0.0,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_001,77.0,258.3,7.2816,560.6832,19889.100000000002,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_002,71.0,258.3,7.2816,516.9936,18339.3,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_003,85.0,258.3,7.2816,618.936,21955.5,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_004,30.0,258.3,7.2816,218.448,7749.0,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_005,33.0,258.3,7.2816,240.2928,8523.9,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_006,35.0,258.3,7.2816,254.856,9040.5,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_007,26.0,258.3,7.2816,189.3216,6715.8,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_008,13.0,258.3,7.2816,94.6608,3357.9,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_010,2.0,258.3,7.2816,14.5632,516.6,1,2024-01-03,S1_nearest_fc
FC_EWR,BOS,SKU_011,2.0,258.3,7.2816,14.5632,516.6,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_001,24.0,173.1,6.9576,166.9824,4154.4,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_002,49.0,173.1,6.9576,340.92240000000004,8481.9,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_003,68.0,173.1,6.9576,473.1168,11770.8,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_004,11.0,173.1,6.9576,76.5336,1904.1,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_005,14.0,173.1,6.9576,97.4064,2423.4,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_006,8.0,173.1,6.9576,55.6608,1384.8,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_007,28.0,173.1,6.9576,194.8128,4846.8,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_008,3.0,173.1,6.9576,20.8728,519.3,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_009,3.0,173.1,6.9576,20.8728,519.3,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_010,2.0,173.1,6.9576,13.9152,346.2,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_011,13.0,173.1,6.9576,90.4488,2250.2999999999997,1,2024-01-03,S1_nearest_fc
FC_EWR,BWI,SKU_012,5.0,173.1,6.9576,34.788000000000004,865.5,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_001,97.0,40.5,5.4917,532.6949,3928.5,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_002,167.0,40.5,5.4917,917.1139,6763.5,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_003,148.0,40.5,5.4917,812.7715999999999,5994.0,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_004,63.0,40.5,5.4917,345.9771,2551.5,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_005,40.0,40.5,5.4917,219.668,1620.0,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_006,50.0,40.5,5.4917,274.585,2025.0,1,2024-01-03,S1_nearest_fc
FC_ORD,CHI,SKU_007,28.0,40.5,5.4917,153.7676,1134.0,1,2024-01-03,S1_nearest_fc
